P_central,Radius_km,Mass_Msun
2.29738e-06,16.89,0.445723
2.32035e-06,16.8858,0.447638
2.34356e-06,16.8815,0.449561
2.36699e-06,16.8773,0.45149
2.39066e-06,16.8731,0.453425
2.41457e-06,16.8739,0.455369
2.43871e-06,16.8697,0.457319
2.4631e-06,16.8656,0.459275
2.48773e-06,16.8614,0.461239
2.51261e-06,16.8572,0.463209
2.53774e-06,16.8528,0.465186
2.56311e-06,16.8486,0.46717
2.58874e-06,16.8443,0.469161
2.61463e-06,16.84,0.471159
2.64078e-06,16.8357,0.473164
2.66719e-06,16.8314,0.475175
2.69386e-06,16.827,0.477194
2.7208e-06,16.8226,0.47922
2.748e-06,16.8228,0.481254
2.77548e-06,16.8186,0.483293
2.80324e-06,16.8142,0.48534
2.83127e-06,16.8099,0.487394
2.85958e-06,16.8055,0.489455
2.88818e-06,16.801,0.491523
2.91706e-06,16.7966,0.493597
2.94623e-06,16.7921,0.495679
2.9757e-06,16.7876,0.497768
3.00545e-06,16.783,0.499864
3.03551e-06,16.7787,0.501967
3.06586e-06,16.7741,0.504077
3.09652e-06,16.7695,0.506195
3.12749e-06,16.7649,0.508319
3.15876e-06,16.7602,0.51045
3.19035e-06,16.76,0.51259
3.22225e-06,16.7556,0.514736
3.25447e-06,16.751,0.516888
3.28702e-06,16.7463,0.519048
3.31989e-06,16.7416,0.521215
3.35309e-06,16.7369,0.523389
3.38662e-06,16.7321,0.525571
3.42049e-06,16.7273,0.527759
3.45469e-06,16.7226,0.529955
3.48924e-06,16.7178,0.532158
3.52413e-06,16.7129,0.534368
3.55937e-06,16.708,0.536585
3.59496e-06,16.7032,0.538809
3.63091e-06,16.6983,0.541041
3.66722e-06,16.6975,0.54328
3.7039e-06,16.6927,0.545526
3.74093e-06,16.688,0.547779
3.77834e-06,16.6831,0.55004
3.81613e-06,16.6781,0.552307
3.85429e-06,16.6732,0.554582
3.89283e-06,16.6682,0.556864
3.93176e-06,16.6632,0.559153
3.97108e-06,16.6582,0.56145
4.01079e-06,16.6533,0.563753
4.0509e-06,16.6482,0.566064
4.0914e-06,16.6431,0.568382
4.13232e-06,16.6379,0.570708
4.17364e-06,16.6328,0.57304
4.21538e-06,16.6315,0.575381
4.25753e-06,16.6264,0.577728
4.30011e-06,16.6213,0.580082
4.34311e-06,16.6161,0.582444
4.38654e-06,16.611,0.584813
4.4304e-06,16.606,0.587189
4.47471e-06,16.6007,0.589572
4.51946e-06,16.5955,0.591963
4.56465e-06,16.5902,0.59436
4.6103e-06,16.5849,0.596766
4.6564e-06,16.5796,0.599178
4.70296e-06,16.5742,0.601597
4.74999e-06,16.5689,0.604024
4.79749e-06,16.5635,0.606458
4.84547e-06,16.558,0.608899
4.89392e-06,16.5562,0.611349
4.94286e-06,16.5508,0.613805
4.99229e-06,16.5454,0.616268
5.04221e-06,16.5399,0.618738
5.09264e-06,16.5344,0.621215
5.14356e-06,16.5289,0.6237
5.195e-06,16.5234,0.626192
5.24695e-06,16.5179,0.628691
5.29942e-06,16.5125,0.631198
5.35241e-06,16.5069,0.633712
5.40594e-06,16.5013,0.636232
5.46e-06,16.4956,0.638761
5.5146e-06,16.49,0.641296
5.56974e-06,16.4843,0.643838
5.62544e-06,16.4786,0.646388
5.68169e-06,16.4728,0.648945
5.73851e-06,16.4705,0.65151
5.79589e-06,16.4647,0.654081
5.85385e-06,16.459,0.65666
5.91239e-06,16.4532,0.659245
5.97152e-06,16.4474,0.661838
6.03123e-06,16.4415,0.664438
6.09154e-06,16.4357,0.667045
6.15246e-06,16.4298,0.669659
6.21398e-06,16.4239,0.672281
6.27612e-06,16.4179,0.674909
6.33888e-06,16.412,0.677545
6.40227e-06,16.406,0.680188
6.4663e-06,16.4,0.682838
6.53096e-06,16.394,0.685495
6.59627e-06,16.3911,0.68816
6.66223e-06,16.385,0.690831
6.72885e-06,16.3791,0.693509
6.79614e-06,16.3731,0.696194
6.8641e-06,16.367,0.698887
6.93275e-06,16.3609,0.701586
7.00207e-06,16.3548,0.704292
7.07209e-06,16.3486,0.707006
7.14281e-06,16.3424,0.709726
7.21424e-06,16.3362,0.712454
7.28638e-06,16.3298,0.715188
7.35925e-06,16.3235,0.71793
7.43284e-06,16.3172,0.720678
7.50717e-06,16.3109,0.723433
7.58224e-06,16.3045,0.726195
7.65806e-06,16.2983,0.728964
7.73464e-06,16.2947,0.731741
7.81199e-06,16.2883,0.734524
7.89011e-06,16.2819,0.737314
7.96901e-06,16.2755,0.74011
8.0487e-06,16.269,0.742914
8.12919e-06,16.2625,0.745724
8.21048e-06,16.2561,0.748541
8.29259e-06,16.2495,0.751365
8.37551e-06,16.2429,0.754196
8.45927e-06,16.2363,0.757033
8.54386e-06,16.2297,0.759877
8.6293e-06,16.223,0.762728
8.71559e-06,16.2163,0.765586
8.80275e-06,16.2096,0.76845
8.89077e-06,16.2029,0.771321
8.97968e-06,16.1962,0.774198
9.06948e-06,16.1922,0.777083
9.16017e-06,16.1855,0.779974
9.25178e-06,16.1788,0.782871
9.34429e-06,16.1719,0.785775
9.43774e-06,16.1651,0.788686
9.53211e-06,16.1582,0.791603
9.62743e-06,16.1513,0.794526
9.72371e-06,16.1444,0.797456
9.82095e-06,16.1375,0.800393
9.91916e-06,16.1305,0.803336
1.00183e-05,16.1235,0.806285
1.01185e-05,16.1164,0.80924
1.02197e-05,16.1095,0.812202
1.03219e-05,16.1024,0.815171
1.04251e-05,16.0953,0.818145
1.05294e-05,16.0882,0.821126
1.06347e-05,16.081,0.824114
1.0741e-05,16.0763,0.827108
1.08484e-05,16.0691,0.830107
1.09569e-05,16.0619,0.833113
1.10665e-05,16.0547,0.836125
1.11772e-05,16.0474,0.839143
1.12889e-05,16.0402,0.842167
1.14018e-05,16.0328,0.845198
1.15158e-05,16.0255,0.848234
1.1631e-05,16.0181,0.851276
1.17473e-05,16.0107,0.854325
1.18648e-05,16.0033,0.857379
1.19834e-05,15.9959,0.860439
1.21033e-05,15.9885,0.863505
1.22243e-05,15.981,0.866577
1.23465e-05,15.9734,0.869655
1.247e-05,15.9658,0.872739
1.25947e-05,15.9582,0.875828
1.27206e-05,15.9529,0.878923
1.28478e-05,15.9453,0.882024
1.29763e-05,15.9377,0.885131
1.31061e-05,15.93,0.888243
1.32372e-05,15.9224,0.891361
1.33695e-05,15.9146,0.894484
1.35032e-05,15.9069,0.897613
1.36383e-05,15.8991,0.900747
1.37746e-05,15.8913,0.903887
1.39124e-05,15.8835,0.907032
1.40515e-05,15.8756,0.910182
1.4192e-05,15.8677,0.913338
1.43339e-05,15.8599,0.916499
1.44773e-05,15.852,0.919666
1.46221e-05,15.844,0.922837
1.47683e-05,15.836,0.926014
1.4916e-05,15.828,0.929196
1.50651e-05,15.8221,0.932384
1.52158e-05,15.8141,0.935576
1.53679e-05,15.806,0.938773
1.55216e-05,15.7978,0.941976
1.56768e-05,15.7897,0.945183
1.58336e-05,15.7815,0.948395
1.59919e-05,15.7734,0.951612
1.61518e-05,15.7651,0.954834
1.63134e-05,15.7569,0.958061
1.64765e-05,15.7486,0.961292
1.66413e-05,15.7403,0.964528
1.68077e-05,15.7321,0.967769
1.69757e-05,15.7237,0.971014
1.71455e-05,15.7153,0.974264
1.7317e-05,15.7068,0.977518
1.74901e-05,15.6983,0.980777
1.7665e-05,15.6899,0.98404
1.78417e-05,15.6833,0.987308
1.80201e-05,15.6748,0.99058
1.82003e-05,15.6663,0.993857
1.83823e-05,15.6578,0.997137
1.85661e-05,15.6492,1.00042
1.87518e-05,15.6406,1.00371
1.89393e-05,15.6319,1.007
1.91287e-05,15.6232,1.0103
1.932e-05,15.6145,1.0136
1.95132e-05,15.6058,1.01691
1.97083e-05,15.597,1.02021
1.99054e-05,15.5882,1.02353
2.01045e-05,15.5795,1.02684
2.03055e-05,15.5706,1.03016
2.05086e-05,15.5617,1.03349
2.07136e-05,15.5528,1.03682
2.09208e-05,15.544,1.04015
2.113e-05,15.535,1.04348
2.13413e-05,15.526,1.04682
2.15547e-05,15.5171,1.05016
2.17702e-05,15.508,1.0535
2.19879e-05,15.5008,1.05685
2.22078e-05,15.4917,1.0602
2.24299e-05,15.4826,1.06356
2.26542e-05,15.4734,1.06692
2.28807e-05,15.4643,1.07028
2.31095e-05,15.4551,1.07364
2.33406e-05,15.4458,1.07701
2.35741e-05,15.4366,1.08038
2.38098e-05,15.4273,1.08375
2.40479e-05,15.418,1.08712
2.42884e-05,15.4086,1.0905
2.45313e-05,15.3992,1.09388
2.47766e-05,15.3898,1.09726
2.50243e-05,15.3804,1.10065
2.52746e-05,15.3709,1.10404
2.55273e-05,15.3613,1.10743
2.57826e-05,15.3519,1.11082
2.60404e-05,15.3423,1.11422
2.63008e-05,15.3344,1.11761
2.65638e-05,15.3248,1.12101
2.68295e-05,15.3152,1.12442
2.70978e-05,15.3056,1.12782
2.73687e-05,15.2959,1.13122
2.76424e-05,15.2862,1.13463
2.79189e-05,15.2765,1.13804
2.8198e-05,15.2667,1.14145
2.848e-05,15.2569,1.14486
2.87648e-05,15.2471,1.14828
2.90525e-05,15.2373,1.1517
2.9343e-05,15.2274,1.15511
2.96364e-05,15.2175,1.15853
2.99328e-05,15.2075,1.16195
3.02321e-05,15.1976,1.16537
3.05344e-05,15.1876,1.1688
3.08398e-05,15.1775,1.17222
3.11482e-05,15.1675,1.17564
3.14597e-05,15.1574,1.17907
3.17743e-05,15.1488,1.1825
